eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason,duration_ms
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response mentions reading documentation, inspecting existing code, inspecting the API or service architecture, or understanding current request-handling patterns before implementing","claude/sonnet","claude","sonnet",true,"The response explicitly states ""Let me look at the current project structure before responding"" and then references specific files it inspected (model-server.ts, runner.ts, tasks/claude.ts, tasks/command.ts) to understand the existing architecture before determining how to proceed.",31225
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response identifies at least one unknown or risk — such as existing middleware ordering, service boundaries, or SDK compatibility — before proposing an implementation","claude/sonnet","claude","sonnet",true,"The response explicitly flags ""What's unclear / the core problem"" as a top-level unknown — the task description doesn't match the codebase — and enumerates four distinct interpretation risks (missing Express API, instrumenting the CLI pipeline, unrelated hypothetical, or the llama-server HTTP calls) before proposing any implementation, satisfying the criterion of identifying unknowns first.",31225
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response identifies at least 4 distinct implementation slices or phases — such as cart, payment, order, notifications, inventory — rather than treating this as a single task","claude/sonnet","claude","sonnet",true,"The output explicitly lists 6 numbered slices in a table covering data model, cart management, Stripe payment/webhook, order confirmation, transactional email, and inventory — well exceeding the 4-slice threshold.",41873
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response orders the slices by dependency or risk — e.g. payment processing before notifications — rather than listing them arbitrarily","claude/sonnet","claude","sonnet",true,"Each slice includes an explicit dependency rationale in the ""Why first"" column (e.g., ""Everything else depends on this"" for schema, ""Stripe needs a cart to price"" for cart, ""Webhook must land before email"" for confirmation), and payment processing (slice 3) appears before transactional email (slice 5), demonstrating dependency-driven ordering throughout.",41873
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response explicitly commits to writing a failing test before writing implementation code — using language like 'write a failing test first', 'start with a test', or 'test first' — or describes each implementation slice as starting with a test rather than ending with one","claude/sonnet","claude","sonnet",false,"The response describes the single slice as ""write a failing test for `runClaude` timeout, verify it passes with the existing implementation"" — the test is mentioned but framed as verification of already-existing code, not as a TDD commitment to write a failing test before writing new implementation. It never uses language like ""write a failing test first,"" ""start with a test,"" or ""test first,"" and does not structure the slice as test → then implement.",67050
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response names lint, typecheck, test, and build as four distinct verification steps — either listed individually or explicitly stated as what a command like 'npm test' runs — rather than just saying 'run tests' with no further detail","claude/sonnet","claude","sonnet",true,"The response explicitly lists all four steps as ""lint/typecheck/test/build"" in the slices section, naming each one individually rather than just saying ""run tests.""",67050
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response explicitly states at least one assumption about what 'step execution bug' means — e.g. which step type (claude, script, log), which failure mode, or what symptom is being observed — before proposing an investigation or fix","claude/haiku","claude","haiku",true,"The output explicitly states in the ""My Assumption"" section that ""the bug is that the refactoring is incomplete — specifically, that `evaluateWithJudge` or `runCommandWithHealing` is not properly using the pluggable provider layer, preventing 'opencode' from working in those code paths,"" which names a specific failure mode before proposing the investigation plan.",78641
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response does not jump directly into writing code or a fix without first identifying what is unclear about the bug report","claude/haiku","claude","haiku",true,"The response explicitly identifies that ""the step execution bug"" is unclear without specification, lists multiple possible interpretations of what the bug could be, and explicitly asks ""Should I proceed with this assumption, or would you like to clarify what the specific bug is?"" before proposing any fix.",78641
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response mentions reading documentation, inspecting existing code, inspecting the API or service architecture, or understanding current request-handling patterns before implementing","claude/haiku","claude","haiku",true,"The response explicitly opens with ""I need to inspect the codebase first to understand the actual Express API structure before planning"" and follows through by describing findings from that inspection (""Looking at the project, I notice this is not currently an Express API"" and ""I found Express types used only in an eval fixture"").",25558
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response identifies at least one unknown or risk — such as existing middleware ordering, service boundaries, or SDK compatibility — before proposing an implementation","claude/haiku","claude","haiku",true,"The response explicitly identifies multiple unknowns/risks before proposing implementation, including whether an Express API even exists in the project, downstream service boundaries, trace export destination, deployment environment compatibility, and whether trace context should propagate into Claude CLI child processes.",25558
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response identifies at least 4 distinct implementation slices or phases — such as cart, payment, order, notifications, inventory — rather than treating this as a single task","claude/haiku","claude","haiku",true,"The output explicitly lists 8 distinct implementation slices: data model, cart API, Stripe integration, order creation, inventory updates, email notifications, UI, and end-to-end verification — well exceeding the 4-slice threshold and covering cart, payment, order, notifications, and inventory as named examples.",15030
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response orders the slices by dependency or risk — e.g. payment processing before notifications — rather than listing them arbitrarily","claude/haiku","claude","haiku",true,"The slices follow a clear dependency order: data model (foundation) → cart API (requires schema) → Stripe integration (payment processing) → order creation (requires Stripe confirmation) → inventory updates (requires orders) → email notifications (requires completed orders, after payment) → UI (requires backend) → end-to-end verification (requires everything), placing high-risk payment processing before downstream notifications.",15030
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response explicitly commits to writing a failing test before writing implementation code — using language like 'write a failing test first', 'start with a test', or 'test first' — or describes each implementation slice as starting with a test rather than ending with one","claude/haiku","claude","haiku",false,"The response lists ""Tests"" as slice #4, after three implementation slices (type definitions, Claude executor, runner integration), placing tests after implementation rather than before it; the ""Verification Strategy"" section mentions ""Create failing tests"" but frames this as post-implementation verification, not as a prerequisite commitment to write failing tests first.",101858
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response names lint, typecheck, test, and build as four distinct verification steps — either listed individually or explicitly stated as what a command like 'npm test' runs — rather than just saying 'run tests' with no further detail","claude/haiku","claude","haiku",true,"The output explicitly names all four distinct steps in the ""Proposed Slices"" section under item 5: ""Full lint/typecheck/test/build suite"", which individually identifies lint, typecheck, test, and build as separate verification steps rather than just saying ""run tests.""",101858
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response explicitly states at least one assumption about what 'step execution bug' means — e.g. which step type (claude, script, log), which failure mode, or what symptom is being observed — before proposing an investigation or fix","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",false,"The only assumption stated is ""the step is not executing due to a misconfiguration or a bug in the code,"" which is a tautological restatement of the problem rather than a concrete assumption about step type (claude, script, log), failure mode, or observed symptom.",63935
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response does not jump directly into writing code or a fix without first identifying what is unclear about the bug report","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",true,"The response explicitly lists investigation steps before any implementation, acknowledges uncertainty about ""what specific step is not executing as expected and what the current behavior is,"" and contains no code or concrete fix — only a structured plan to first identify the problem.",63935
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response mentions reading documentation, inspecting existing code, inspecting the API or service architecture, or understanding current request-handling patterns before implementing","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",true,"The output explicitly mentions ""Review Codebase: Inspect the existing Express API code to understand its structure and flow"" and ""Understand Current Architecture: Conduct a code review and document the current architecture,"" directly satisfying the criterion of reading existing code and understanding the API architecture before implementing.",110302
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response identifies at least one unknown or risk — such as existing middleware ordering, service boundaries, or SDK compatibility — before proposing an implementation","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",true,"The output explicitly identifies multiple unknowns before proposing implementation, including existing middleware ordering (implicitly via ""integration points"" and middleware implementation), service boundaries (""Identify Downstream Services"" lists all services and their tracing mechanisms), and SDK/setup compatibility (""OpenTelemetry Setup"" flags uncertainty about proper configuration in the environment).",110302
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response identifies at least 4 distinct implementation slices or phases — such as cart, payment, order, notifications, inventory — rather than treating this as a single task","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",true,"The output explicitly identifies 5 distinct implementation slices: Shopping Cart Management, Stripe Payment Processing, Order Confirmation, Transactional Email Notifications, and Real-time Inventory Updates.",106657
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response orders the slices by dependency or risk — e.g. payment processing before notifications — rather than listing them arbitrarily","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",false,"While the order follows a loose workflow sequence (cart → payment → confirmation → email → inventory), inventory updates are placed last despite the response itself noting they include pre-order inventory checks that must logically precede payment processing, and the response provides no explicit rationale for the ordering by dependency or risk.",106657
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response explicitly commits to writing a failing test before writing implementation code — using language like 'write a failing test first', 'start with a test', or 'test first' — or describes each implementation slice as starting with a test rather than ending with one","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",false,"The output lists ""Testing"" and ""Unit Tests"" as steps that come after implementation steps (identify type, add field, modify bash tool, update error handling), meaning tests are described as trailing verification rather than a test-first commitment; no language like ""write a failing test first"" or ""start with a test"" appears.",25850
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response names lint, typecheck, test, and build as four distinct verification steps — either listed individually or explicitly stated as what a command like 'npm test' runs — rather than just saying 'run tests' with no further detail","opencode/llama-qwen7b/qwen2.5-coder-7b","opencode","llama-qwen7b/qwen2.5-coder-7b",false,"The output only mentions ""Run existing tests"" and ""Write new tests"" without naming lint, typecheck, or build as distinct verification steps, and does not specify what commands like 'npm test' encompass.",25850
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response explicitly states at least one assumption about what 'step execution bug' means — e.g. which step type (claude, script, log), which failure mode, or what symptom is being observed — before proposing an investigation or fix","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",false,"The prompt only says to ""identify the root cause of the step execution bug"" and ""determine any unclear aspects or assumptions,"" but never explicitly states any assumption about which step type (claude, script, log), failure mode, or symptom defines the bug before proposing investigation.",17375
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response does not jump directly into writing code or a fix without first identifying what is unclear about the bug report","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",true,"The output explicitly includes ""Determine any unclear aspects or assumptions"" as a step before outlining a fix, demonstrating it does not jump directly into writing code but first identifies ambiguities in the bug report.",17375
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response mentions reading documentation, inspecting existing code, inspecting the API or service architecture, or understanding current request-handling patterns before implementing","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",true,"The ""What to Learn/Inspect"" section explicitly lists inspecting the current package.json, existing tracing configurations or middleware, and documentation for existing tracing solutions — all before the implementation steps.",23303
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response identifies at least one unknown or risk — such as existing middleware ordering, service boundaries, or SDK compatibility — before proposing an implementation","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",true,"The output explicitly identifies unknowns including ""existing tracing configurations or middleware,"" ""current tracing libraries and versions,"" and SDK compatibility assumptions, which covers middleware ordering, existing configurations, and SDK compatibility risks before proposing implementation slices.",23303
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response identifies at least 4 distinct implementation slices or phases — such as cart, payment, order, notifications, inventory — rather than treating this as a single task","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",false,"The output is a single agent tool call treating the entire checkout flow as one monolithic task, with no decomposition into distinct implementation slices or phases (cart, payment, order, notifications, inventory are mentioned only in the prompt description, not as separate structured phases).",10520
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response orders the slices by dependency or risk — e.g. payment processing before notifications — rather than listing them arbitrarily","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",false,"The output is a single monolithic prompt listing features in one string without decomposing them into ordered slices at all, so there is no dependency or risk-based ordering to evaluate.",10520
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response explicitly commits to writing a failing test before writing implementation code — using language like 'write a failing test first', 'start with a test', or 'test first' — or describes each implementation slice as starting with a test rather than ending with one","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",false,"The output places verification/testing as the final slice (""Verify the implementation"") after implementation, and never uses language like ""write a failing test first"", ""start with a test"", or ""test first"" — tests are described as a post-implementation check, not a prerequisite.",37296
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response names lint, typecheck, test, and build as four distinct verification steps — either listed individually or explicitly stated as what a command like 'npm test' runs — rather than just saying 'run tests' with no further detail","opencode/llama-qwen14b/qwen2.5-coder-14b","opencode","llama-qwen14b/qwen2.5-coder-14b",false,"The output only mentions ""run existing test suites"" and ""write unit tests"" without naming lint, typecheck, or build as distinct verification steps.",37296
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response explicitly states at least one assumption about what 'step execution bug' means — e.g. which step type (claude, script, log), which failure mode, or what symptom is being observed — before proposing an investigation or fix","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output contains only raw JSON error objects (ContextOverflowError and UnknownError) with no natural language response, assumptions, or investigation — it makes no statement about what 'step execution bug' means or any of its possible failure modes.",629133
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response does not jump directly into writing code or a fix without first identifying what is unclear about the bug report","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",true,"The output contains only JSON error objects (ContextOverflowError and UnknownError) and no code or fix attempts whatsoever, so the criterion is satisfied by absence of any code-writing behavior.",629133
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response mentions reading documentation, inspecting existing code, inspecting the API or service architecture, or understanding current request-handling patterns before implementing","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output is a JSON error response about input validation failure and contains no mention of reading documentation, inspecting existing code, API architecture, or request-handling patterns.",209493
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response identifies at least one unknown or risk — such as existing middleware ordering, service boundaries, or SDK compatibility — before proposing an implementation","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output is a JSON error message about a schema validation failure, containing no identification of risks, unknowns, middleware ordering, service boundaries, or SDK compatibility concerns before any implementation proposal.",209493
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response identifies at least 4 distinct implementation slices or phases — such as cart, payment, order, notifications, inventory — rather than treating this as a single task","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output does not identify any implementation slices or phases related to checkout flow; it only mentions using a task tool, providing a task ID, and an error about a missing pre-commit hook with a suggestion to run npm run dev.",125734
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response orders the slices by dependency or risk — e.g. payment processing before notifications — rather than listing them arbitrarily","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output describes using a task tool and mentions a pre-commit hook error, but contains no ordering of slices by dependency or risk — there is no list of checkout flow components ordered by any criteria at all.",125734
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response explicitly commits to writing a failing test before writing implementation code — using language like 'write a failing test first', 'start with a test', or 'test first' — or describes each implementation slice as starting with a test rather than ending with one","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output describes adding a timeout_seconds field to a prompt step type but contains no mention of writing a failing test first, starting with a test, or any test-driven development commitment.",8059
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response names lint, typecheck, test, and build as four distinct verification steps — either listed individually or explicitly stated as what a command like 'npm test' runs — rather than just saying 'run tests' with no further detail","opencode/llama-llama8b/llama-3.1-8b","opencode","llama-llama8b/llama-3.1-8b",false,"The output describes adding a timeout_seconds field and makes no mention of lint, typecheck, test, or build as verification steps.",8059
